completed,name,address,category,distance,rating,price,id
False,Cotenna,21 Bedford St,Italian,0.784258982335,9.1,2,543075b3498e283e38ad9dec
False,Mamoun's Falafel,22 Saint Marks Pl (btwn 2nd & 3rd Ave),Falafel,0.457287032064,9.1,1,49ff7bcef964a5202a701fe3
False,John's of Bleecker Street,278 Bleecker St (at Jones St),Pizza,0.813618021508,9.2,2,43b9adf1f964a520e22c1fe3
False,Kesté Pizza & Vino,271 Bleecker St (btw Morton & Jones St.),Pizza,0.800343470028,9.1,2,49ef26f3f964a52082681fe3
False,THELEwala,112 Macdougal St (at Minetta St.),Indian,0.547190302791,8.8,1,4d992c1e942ba093ebb5968c
False,Prune,54 E 1st St (at 1st Ave),American,0.722413293189,9.3,2,3fd66200f964a52055e41ee3
False,Mark,33 Saint Marks Pl (btwn 2nd & 3rd Ave.),Burgers,0.505475406907,9.0,2,4af06dc6f964a520efdb21e3
False,Whitmans,406 E 9th St (btwn 1st Ave & Avenue A),Burgers,0.847840104625,9.2,2,4c0d0b440e9e9521c7d13cbd
False,AsiaDog,66 Kenmare St (btwn Mott & Mulberry),Hot Dogs,0.901074348854,9.1,1,4d8fa807c1b1721ee9aa4b46
False,Sweet Chick,178 Ludlow St (btwn E Houston & Stanton St),Southern / Soul,0.986604747395,9.3,2,537b5a29498ec121cf9fa1f4
False,Shanghai Café,100 Mott St (btwn Canal & Hester St),Chinese,1.32863453886,9.1,1,46936ee3f964a520d0481fe3
False,Pepe Rosso To Go,149 Sullivan St (btwn Houston & Prince),Italian,0.652571905659,8.9,1,3fd66200f964a52023e61ee3
False,Café Blossom,41 Carmine St (btwn Bleecker & Bedford),Vegetarian / Vegan,0.789505151086,9.2,2,4f5a449ee4b03a9f6a980169
False,Café Gitane,242 Mott St (at Prince St),French,0.647187046715,9.0,2,4baabd4cf964a520c6833ae3
False,Tacombi at Fonda Nolita,267 Elizabeth St (btwn E Houston & Prince St.),Tacos,0.554500226753,9.4,2,4c38ced2ae2da593576301c6
False,Udon West,11 Saint Marks Pl (at 3rd Ave),Ramen / Noodles,0.426828198173,8.8,1,49da73e1f964a5208a5e1fe3
False,Otto Enoteca Pizzeria,1 5th Ave (at E 8th St),Pizza,0.33671221485,9.3,2,3fd66200f964a520c7f11ee3
False,Crif Dogs,113 Saint Marks Pl (btwn 1st & Ave A),Hot Dogs,0.908541307352,9.4,1,3fd66200f964a520a5e41ee3
False,Parisi Bakery Delicatessen,198 Mott St (at Kenmare St.),Sandwiches,0.877194740784,9.3,2,49cea26cf964a520665a1fe3
False,Rubirosa,235 Mulberry St (btwn Prince & Spring St),Pizza,0.71409493083,9.6,2,4cc6222106c25481d7a4a047
False,Beyond Sushi,229 E 14th St (btwn 2nd & 3rd Ave),Sushi,0.810677408997,9.2,2,4f9aab6c003929361b5de462
False,Cafe Mogador,101 Saint Marks Pl (btwn 1st Ave & Avenue A),Middle Eastern,0.846099926031,9.4,2,41044980f964a520750b1fe3
False,Bianca,5 Bleecker St (btwn Bowery & Elizabeth St),Italian,0.431017899528,9.1,2,40d38200f964a52049011fe3
False,Despaña,408 Broome St (btwn Lafayette & Centre St),Tapas,0.934881061538,9.5,2,45697387f964a520e53d1fe3
False,The Smile,26 Bond St (btwn Bowery & Lafayette St),American,0.29285055096,9.4,2,49da5fa7f964a5207e5e1fe3
False,Banh Mi Saigon Bakery,198 Grand St (btwn Mulberry & Mott St),Sandwiches,1.11288521804,9.2,1,49bd4d49f964a52065541fe3
False,Prince Street Pizza,27 Prince St (btwn Mott & Elizabeth St),Pizza,0.661919990512,9.4,1,4f045eeb00399761c77301e3
False,Taïm Falafel and Smoothie Bar,45 Spring St (at Mulberry St),Falafel,0.791711676505,9.4,1,4f3046da7beb0cfa14dcac59
False,Otto's Tacos,141 2nd Ave (at E 9th St),Mexican,0.600466020728,8.8,1,51ca1c8d498ef3bd0794bb0a
False,Vanessa's Dumpling House,118 Eldridge St (btwn Broome & Grand St),Dumplings,1.2096488597,9.1,1,49eeaf08f964a52078681fe3
False,Zabb Elee,75 2nd Ave (btwn E 4th & 5th),Thai,0.510834734763,9.0,2,4d8bee4dc640224bd8cc6d54
False,The Grey Dog,90 University Pl (btwn 11th & 12th St),Breakfast,0.541004308045,9.3,2,49b5889bf964a520fa521fe3
False,Chipotle Mexican Grill,504 Avenue of the Americas (13th St),Mexican,0.691893351627,8.7,1,4adf9c01f964a5200f7c21e3
False,Otafuku x Medetai,220 E 9th St (btwn Stuyvesant St. & 2nd Ave.),Japanese,0.492172764676,8.7,1,3fd66200f964a52058eb1ee3
False,Gyu-Kaku Japanese BBQ,34 Cooper Sq (btwn E 5th & E 6th St.),Japanese,0.273065838318,9.3,2,427ff980f964a520b7211fe3
False,Taboonette,30 E 13th St (at University Pl),Mediterranean,0.664781034015,9.0,2,4f5e9155e4b0b97ed8e94884
False,The Meatball Shop,64 Greenwich Ave (at Perry St.),Italian,0.965508726137,9.5,2,4eb5e354b8f786e2756cb884
False,Phở Bằng,157 Mott St (btwn Broome & Grand St),Vietnamese,1.07564271816,9.2,1,3fd66200f964a52034eb1ee3
False,Freemans,1 Freeman Aly (at Rivington St),American,0.81634047447,9.5,2,4169cd00f964a5208c1d1fe3
False,Taïm Falafel and Smoothie Bar,222 Waverly Pl (btwn Perry & W 11th St),Falafel,0.996491241937,9.5,1,4a044315f964a520ea711fe3
False,Bleecker Street Pizza,69 7th Ave S (at Bleecker St),Pizza,0.846694515049,8.8,1,49bed0f6f964a520e2541fe3
False,B & H Dairy,127 2nd Ave (btwn E. 7th & St. Marks),Vegetarian / Vegan,0.550526581598,9.3,1,4b2fadfdf964a520e6ed24e3
False,Negril Village,70 W 3rd St (at Bleecker St.),Caribbean,0.349916509737,9.1,2,40fc6080f964a520150b1fe3
False,Dos Toros Taquería,137 4th Ave (btwn E 13th & E 14th St),Burritos,0.622541141061,9.1,1,4ae63a26f964a520caa521e3
False,Murray's Bagels,500 Avenue of the Americas (btwn W 12th & W 13th St),Bagels,0.86528331844,9.1,1,3fd66200f964a52098e51ee3
False,Han Dynasty,90 3rd Ave (at E 12th St),Chinese,0.633189212117,9.2,2,52169fba11d21db81bdab2a0
False,Mighty Quinn's BBQ,103 2nd Ave (at E 6th St),BBQ,0.50213901651,9.5,2,503fb602ebca66a84f0287e8
False,Whynot Bistro,14 Christopher St (at Gay St),French,0.752758326086,9.2,2,516032a2805506661091d890
False,Luke's Lobster EV,93 E 7th St (btwn 1st & Ave A),Seafood,0.782691397181,9.6,2,4abce679f964a5209d8720e3
False,Takahachi,85 Avenue A (btwn E 5th & E 6th St),Sushi,0.950680399565,9.3,2,3fd66200f964a52023e51ee3
False,Faicco's Italian Specialities,260 Bleecker St. (at Cornelia St.),Deli / Bodega,0.760083762233,9.5,2,4a74a36af964a520fede1fe3
